celebrity_name,season,placement,week1_fan_vote_pct,week2_fan_vote_pct,week3_fan_vote_pct,week4_fan_vote_pct,week5_fan_vote_pct,week6_fan_vote_pct,week7_fan_vote_pct,week8_fan_vote_pct,week9_fan_vote_pct,week10_fan_vote_pct,week11_fan_vote_pct
John O'Hurley,1,2,0.16666666665000002,0.16666666994366539,0.16666666665000002,0.18427212763563167,0.16666666665000002,0.16666666665000002,0.0,0.0,0.0,0.0,0.0
Kelly Monaco,1,1,0.16666666665000002,0.17984363160168945,0.16666666665000002,0.16909805606106407,0.16666666665000002,0.16666666665000002,0.0,0.0,0.0,0.0,0.0
Evander Holyfield,1,5,0.16666666665000002,0.18894131548713422,0.16666666665000002,0.16666667569726157,0.16666666665000002,0.16666666665000002,0.0,0.0,0.0,0.0,0.0
Rachel Hunter,1,4,0.16666666665000002,0.16666666993643106,0.16666666665000002,0.1202918385805811,0.16666666665000002,0.16666666665000002,0.0,0.0,0.0,0.0,0.0
Joey McIntyre,1,3,0.16666666665000002,0.1679187769771757,0.16666666665000002,0.19300462622774664,0.16666666665000002,0.16666666665000002,0.0,0.0,0.0,0.0,0.0
Trista Sutter,1,6,0.16666666665000002,0.12996293595389855,0.16666666665000002,0.16666667569739674,0.16666666665000002,0.16666666665000002,0.0,0.0,0.0,0.0,0.0
Tatum O'Neal,2,9,0.10000000073505808,0.084999994011645,0.10000000195951582,0.09999999999,0.10000000222521971,0.10000000073505808,0.10000000208281139,0.09999999999,0.0,0.0,0.0
Tia Carrere,2,6,0.10000000073505808,0.10000000148011615,0.10000000195951582,0.09999999999,0.08986754062957747,0.10000000073505808,0.10000000208281139,0.09999999999,0.0,0.0,0.0
George Hamilton,2,5,0.10000000073505808,0.10000000148011615,0.1065993469491443,0.09999999999,0.10337748197288318,0.08999999707183122,0.10000000208281139,0.09999999999,0.0,0.0,0.0
Lisa Rinna,2,4,0.10000000073505808,0.10249999775750436,0.1011603243187171,0.09999999999,0.10006622366606567,0.10000000073505808,0.05695946279564524,0.09999999999,0.0,0.0,0.0
Stacy Keibler,2,3,0.10000000073505808,0.10000000148011615,0.10000000195918685,0.09999999999,0.10000000222521971,0.10000000073505808,0.10442202061304746,0.09999999999,0.0,0.0,0.0
Jerry Rice,2,2,0.10000000073505808,0.10000000148011615,0.1120383695588658,0.09999999999,0.10668874028015544,0.10999999694770426,0.1341964833809027,0.09999999999,0.0,0.0,0.0
Giselle Fernandez,2,8,0.10000000073505808,0.10000000148011615,0.05909854205697526,0.09999999999,0.10000000222521971,0.10000000073505808,0.10000000208281139,0.09999999999,0.0,0.0,0.0
Master P,2,7,0.11256409949596075,0.11249999777003765,0.12110340723208612,0.09999999999,0.10000000222521971,0.10000000073505808,0.10000000208281139,0.09999999999,0.0,0.0,0.0
Drew Lachey,2,1,0.10000000073505808,0.10000000148011615,0.10000000195299649,0.09999999999,0.10000000222521971,0.10000000073505808,0.10442202061304746,0.09999999999,0.0,0.0,0.0
Kenny Mayne,2,10,0.08743589452357474,0.10000000148011615,0.10000000195299649,0.09999999999,0.10000000222521971,0.10000000073505808,0.10000000208329934,0.09999999999,0.0,0.0,0.0
Harry Hamlin,3,9,0.09090909225465103,0.09530337675326345,0.06446916377814138,0.09090909265045283,0.09090909235772691,0.0909090909,0.0909090909,0.09090909293214193,0.0909090909,0.0909090909,0.0
Vivica A. Fox,3,8,0.09090909225465103,0.09294929536639311,0.09090909262727358,0.06179973753930488,0.09090909235772691,0.0909090909,0.0909090909,0.09090909293214193,0.0909090909,0.0909090909,0.0
Monique Coleman,3,4,0.09090909225465103,0.0913799077808184,0.09090909261526181,0.09595582739129274,0.09451868241238458,0.0909090909,0.0909090909,0.0746705495039526,0.0909090909,0.0909090909,0.0
Joey Lawrence,3,3,0.09090909225465103,0.09090909284612399,0.09514520815102522,0.0921325420676464,0.09651293179734648,0.0909090909,0.0909090909,0.09861551129184962,0.0909090909,0.0909090909,0.0
Mario Lopez,3,2,0.09090909225465103,0.09530337675316254,0.09514520815102522,0.09090909265045283,0.09451868241228366,0.0909090909,0.0909090909,0.09173477728735457,0.0909090909,0.0909090909,0.0
Emmitt Smith,3,1,0.09090909225465103,0.09294929537211612,0.09821485825895072,0.09595582738994966,0.09451868241228367,0.0909090909,0.0909090909,0.09861551129184962,0.0909090909,0.0909090909,0.0
Shanna Moakler,3,10,0.09090909225465103,0.06438643192175814,0.09090909262727358,0.09090909265045283,0.09090909238397561,0.0909090909,0.0909090909,0.09090909293214193,0.0909090909,0.0909090909,0.0
Willa Ford,3,7,0.09090909225465103,0.09373398915881825,0.09514520815102522,0.09090909265045283,0.06127453842032764,0.0909090909,0.0909090909,0.09090909293214193,0.0909090909,0.0909090909,0.0
Sara Evans,3,6,0.0938336168350122,0.09530337675291174,0.09207555807930339,0.10110591798882253,0.09751005648828379,0.0909090909,0.0909090909,0.09090909293214193,0.0909090909,0.0909090909,0.0
Jerry Springer,3,5,0.09147512626587238,0.09687276434851015,0.0961684248458159,0.09850468427071733,0.09751005647368505,0.0909090909,0.0909090909,0.09090909293214193,0.0909090909,0.0909090909,0.0
Tucker Carlson,3,11,0.08741851876190708,0.09090909284612399,0.09090909261490406,0.09090909265045283,0.09090909238397561,0.0909090909,0.0909090909,0.09090909293214193,0.0909090909,0.0909090909,0.0
John Ratzenberger,4,6,0.0909090909,0.09440412552236696,0.09638746159062858,0.10090908854095469,0.0909090909,0.11267379528293064,0.0695822271441583,0.0909090909,0.09090909293164584,0.0909090909,0.0
Ian Ziering,4,4,0.0909090909,0.09369085326949239,0.0922991260480705,0.09090909225531248,0.0909090909,0.09796791279706883,0.0909090915773255,0.0909090909,0.07145760479396894,0.0909090909,0.0
