celebrity_name,celebrity_instagram_followers,celebrity_twitter_followers,celebrity_tiktok_followers,celebrity_youtube_subscribers,celebrity_total_followers_wikidata,partner_instagram_followers,partner_twitter_followers,partner_tiktok_followers,partner_youtube_subscribers,partner_total_followers_wikidata,celebrity_instagram_followers_log,celebrity_twitter_followers_log,celebrity_tiktok_followers_log,celebrity_youtube_subscribers_log,celebrity_total_followers_wikidata_log,partner_instagram_followers_log,partner_twitter_followers_log,partner_tiktok_followers_log,partner_youtube_subscribers_log,partner_total_followers_wikidata_log
Marissa Jaret Winokur,,71770.0,,,71770.0,,,,,,,11.181235773725405,,,11.181235773725405,,,,,
Jason Taylor,,,,,,,,,,,,,,,,,,,,
Kristi Yamaguchi,,59350.0,,,59350.0,,,,,,,10.99122424909553,,,10.99122424909553,,,,,
Monica Seles,,33927.0,,,33927.0,,,,,,,10.431995911154427,,,10.431995911154427,,,,,
Penn Jillette,,1695520.0,,,1695520.0,,,,,,,14.343500626198052,,,14.343500626198052,,,,,
Adam Carolla,,779874.0,,,779874.0,,1102937.0,,77400.0,1180337.0,,13.566888929413087,,,13.566888929413087,,13.913488086320331,,11.256754979390998,13.981311396103514
Mario,,,,,,,242304.0,,,242304.0,,,,,,,12.39795254216744,,,12.39795254216744
Ted McGinley,,,,,,,,,,,,,,,,,,,,
Cloris Leachman,,72620.0,,,72620.0,,,,,,,11.193009415184726,,,11.193009415184726,,,,,
Susan Lucci,,65422.0,,,65422.0,,,,,,,11.088629157576872,,,11.088629157576872,,,,,
Cody Linley,,125810.0,,,125810.0,,1102937.0,,77400.0,1180337.0,,11.742536059807348,,,11.742536059807348,,13.913488086320331,,11.256754979390998,13.981311396103514
Misty May-Treanor,,149046.0,,,149046.0,,,,,,,11.912016971429654,,,11.912016971429654,,,,,
Maurice Greene,,,,,,,380112.0,,,380112.0,,,,,,,12.848223855918395,,,12.848223855918395
Warren Sapp,,1028202.0,,,1028202.0,,,,,,,13.843323176319572,,,13.843323176319572,,,,,
Jeffrey Ross,,,,,,,,,,,,,,,,,,,,
Toni Braxton,,1857960.0,,2710000.0,4567960.0,,,,,,,14.434990207823457,,14.812459561859505,15.334577492628297,,,,,
Lance Bass,,422040.0,,,422040.0,,137186.0,,,137186.0,,12.952857744696876,,,12.952857744696876,,11.82910023759806,,,11.82910023759806
Kim Kardashian,,73962090.0,,2000000.0,75962090.0,,,,,,,18.119063236122493,,14.508658238524095,18.14574497117561,,,,,
Rocco DiSpirito,,,,,,,242304.0,,,242304.0,,,,,,,12.39795254216744,,,12.39795254216744
Brooke Burke,,2789829.0,,,2789829.0,,768913.0,,114000.0,882913.0,,14.841491220041483,,,14.841491220041483,,13.552734408683879,,11.643962499267984,13.690983079599384
Gilles Marini,,,,,,,380112.0,,,380112.0,,,,,,,12.848223855918395,,,12.848223855918395
Denise Richards,,2131867.0,,,2131867.0,,,,,,,14.57250914865508,,,14.57250914865508,,,,,
David Alan Grier,,176765.0,,,176765.0,,,,,,,12.082582102999877,,,12.082582102999877,,,,,
Lawrence Taylor,,,,,,,,,,,,,,,,,,,,
Ty Murray,,,,,,,126882.0,,,126882.0,,,,,,,11.751020680977549,,,11.751020680977549
Shawn Johnson,,,,,,,,,,,,,,,,,,,,
Steve Wozniak,,665791.0,,,665791.0,,242304.0,,,242304.0,,13.408732588430567,,,13.408732588430567,,12.39795254216744,,,12.39795254216744
Belinda Carlisle,,70656.0,,339000.0,409656.0,,,,,,,11.165592463176269,,12.733758336210744,12.923075503181808,,,,,
Chuck Wicks,,,,,,,1102937.0,,77400.0,1180337.0,,,,,,,13.913488086320331,,11.256754979390998,13.981311396103514
Lil' Kim,,2369686.0,,,2369686.0,,768913.0,,114000.0,882913.0,,14.678268436879083,,,14.678268436879083,,13.552734408683879,,11.643962499267984,13.690983079599384
Steve-O,,1296336.0,,7030000.0,8326336.0,,137186.0,,,137186.0,,14.07505315295639,,15.765697406034349,15.934934181536486,,11.82910023759806,,,11.82910023759806
Holly Madison,,1145346.0,,133000.0,1278346.0,,22890.0,,,22890.0,,13.95121820582661,,11.798111925972618,14.061078395062147,,10.038499099192006,,,10.038499099192006
Melissa Rycroft,,,,,,,,,,,,,,,,,,,,
Ashley Hamiliton,,,,,,,,,,,,,,,,,,,,
Debi Mazar,,,,,,,,,,,,,,,,,,,,
Melissa Joan Hart,,636544.0,,,636544.0,,,,,,,13.363810393616431,,,13.363810393616431,,,,,
Mark Dacascos,,,,,,,137186.0,,,137186.0,,,,,,,11.82910023759806,,,11.82910023759806
Chuck Liddell,,812652.0,,,812652.0,,,,,,,13.608059483150669,,,13.608059483150669,,,,,
Natalie Coughlin,,108290.0,,,108290.0,,,,,,,11.592577327042804,,,11.592577327042804,,,,,
Louie Vito,,,,,,,126882.0,,,126882.0,,,,,,,11.751020680977549,,,11.751020680977549
Michael Irvin,,732161.0,,,732161.0,,,,,,,13.503757079933086,,,13.503757079933086,,,,,
Joanna Krupa,,804085.0,,,804085.0,,768913.0,,114000.0,882913.0,,13.597461507614867,,,13.597461507614867,,13.552734408683879,,11.643962499267984,13.690983079599384
Kathy Ireland,,260300.0,,,260300.0,,,,,,,12.469593932696368,,,12.469593932696368,,,,,
Tom DeLay,,,,,,,380112.0,,,380112.0,,,,,,,12.848223855918395,,,12.848223855918395
Macy Gray,,94258.0,,215000.0,309258.0,,,,,,,11.453801591467489,,12.278397958261774,12.641934392499005,,,,,
Aaron Carter,,,,,,,242304.0,,,242304.0,,,,,,,12.39795254216744,,,12.39795254216744
Mya,,,,,,,22890.0,,,22890.0,,,,,,,10.038499099192006,,,10.038499099192006
Donny Osmond,,210377.0,,,210377.0,,,,,,,12.256661191640985,,,12.256661191640985,,,,,
Kelly Osbourne,,3338746.0,,,3338746.0,,67867.0,,,67867.0,,15.021106144866032,,,15.021106144866032,,11.12531992116283,,,11.12531992116283
Aiden Turner,,16929.0,,,16929.0,,,,,,,9.736842475127181,,,9.736842475127181,,,,,
Shannen Doherty,,590505.0,,,590505.0,,,,,,,13.288735075448542,,,13.288735075448542,,,,,
Niecy Nash,,452178.0,,,452178.0,,67867.0,,,67867.0,,13.02183339811917,,,13.02183339811917,,11.12531992116283,,,11.12531992116283
Buzz Aldrin,,1579061.0,,,1579061.0,,3018.0,,,3018.0,,14.272341557824737,,,14.272341557824737,,8.012680929706839,,,8.012680929706839
Chad Ochocinco,,3281989.0,,,3281989.0,,380112.0,,,380112.0,,15.003960503704922,,,15.003960503704922,,12.848223855918395,,,12.848223855918395
Evan Lysacek,,50294.0,,,50294.0,,,,,,,10.825660947568439,,,10.825660947568439,,,,,
Pamela Anderson,,1087742.0,,,1087742.0,,7648.0,,,7648.0,,13.899615465259991,,,13.899615465259991,,8.942330199321866,,,8.942330199321866
Nicole Scherzinger,,4993165.0,,1070000.0,6063165.0,,768913.0,,114000.0,882913.0,,15.423580735475255,,13.883170141017091,15.617742663864286,,13.552734408683879,,11.643962499267984,13.690983079599384
Erin Andrews,,2660374.0,,,2660374.0,,,,,,,14.793977648265106,,,14.793977648265106,,,,,
Kate Gosselin,,210681.0,,,210681.0,,,,,,,12.258105166622325,,,12.258105166622325,,,,,
Jake Pavelka,,,,,,,126882.0,,,126882.0,,,,,,,11.751020680977549,,,11.751020680977549
David Hasselhoff,,455201.0,,142000.0,597201.0,,,,,,,13.028496555457716,,11.863589378812122,13.300010693603387,,,,,
Florence Henderson,,,,,,,,,,,,,,,,,,,,
Kyle Massey,,135900.0,,,135900.0,,137186.0,,,137186.0,,11.819681958463892,,,11.819681958463892,,11.82910023759806,,,11.82910023759806
Jennifer Grey,,105907.0,,,105907.0,,768913.0,,114000.0,882913.0,,11.570326071701333,,,11.570326071701333,,13.552734408683879,,11.643962499267984,13.690983079599384
Rick Fox,,,,,,,380112.0,,,380112.0,,,,,,,12.848223855918395,,,12.848223855918395
Kurt Warner,,630120.0,,,630120.0,,,,,,,13.353667143417947,,,13.353667143417947,,,,,
Margaret Cho,337000.0,402271.0,,,739271.0,,67867.0,,,67867.0,12.727841176689147,12.904883755714557,,,13.513421197163689,,11.12531992116283,,,11.12531992116283
Michael Bolton,,,,,,,126882.0,,,126882.0,,,,,,,11.751020680977549,,,11.751020680977549
Brandy,,,,,,,,,,,,,,,,,,,,
The Situation,,,,,,,242304.0,,,242304.0,,,,,,,12.39795254216744,,,12.39795254216744
Audrina Patridge,,1924649.0,,,1924649.0,,,,,,,14.470254690991274,,,14.470254690991274,,,,,
Bristol Palin,,,,,,,,,,,,,,,,,,,,
Ralph Macchio,,358610.0,,,358610.0,,242304.0,,,242304.0,,12.789993514529332,,,12.789993514529332,,12.39795254216744,,,12.39795254216744
Chelsea Kane,,,,,,,,,,,,,,,,,,,,
Kirstie Alley,,1577810.0,,,1577810.0,,,,,,,14.271549001351616,,,14.271549001351616,,,,,
Hines Ward,,491220.0,,,491220.0,,,,,,,13.104649407344207,,,13.104649407344207,,,,,
Sugar Ray Leonard,,270712.0,,,270712.0,,,,,,,12.508814498091702,,,12.508814498091702,,,,,
Chris Jericho,,3616426.0,,232000.0,3848426.0,,380112.0,,,380112.0,,15.100997079805754,,12.354496960983985,15.163175051347348,,12.848223855918395,,,12.848223855918395
Petra Nemcova,,44631.0,,,44631.0,,22890.0,,,22890.0,,10.706206369525365,,,10.706206369525365,,10.038499099192006,,,10.038499099192006
Mike Catherwood,,42592.0,,,42592.0,,137186.0,,,137186.0,,10.659445199506749,,,10.659445199506749,,11.82910023759806,,,11.82910023759806
Romeo,,,,,,,126882.0,,,126882.0,,,,,,,11.751020680977549,,,11.751020680977549
Wendy Williams,,,,,,,,,,,,,,,,,,,,
Kendra Wilkinson,,2211440.0,,,2211440.0,,67867.0,,,67867.0,,14.609154897209788,,,14.609154897209788,,11.12531992116283,,,11.12531992116283
Elisabetta Canalis,,1463328.0,,,1463328.0,,299226.0,,,299226.0,,14.196224535103234,,,14.196224535103234,,12.608957761652729,,,12.608957761652729
David Arquette,,80515.0,,,80515.0,,,,,,,11.296211201420922,,,11.296211201420922,,,,,
Ricki Lake,,236899.0,,,236899.0,,768913.0,,114000.0,882913.0,,12.375393390146877,,,12.375393390146877,,13.552734408683879,,11.643962499267984,13.690983079599384
J.R. Martinez,,49111.0,,,49111.0,,242304.0,,,242304.0,,10.801858683107332,,,10.801858683107332,,12.39795254216744,,,12.39795254216744
Metta World Peace (Ron),,,,,,,213109.0,,,213109.0,,,,,,,12.269563743311371,,,12.269563743311371
Hope Solo,,1069360.0,,,1069360.0,,,,,,,13.882571831783691,,,13.882571831783691,,,,,
Chynna Phillips,,,,,,,,,,,,,,,,,,,,
Kristin Cavallari,,1014942.0,,,1014942.0,,,,,,,13.830343011245658,,,13.830343011245658,,,,,
Carson Kressley,,,,,,,,,,,,,,,,,,,,
Chaz Bono,,150383.0,,,150383.0,,137186.0,,,137186.0,,11.920947301860082,,,11.920947301860082,,11.82910023759806,,,11.82910023759806
Nancy Grace,,,,,,,,,,,,,,,,,,,,
Rob Kardashian,,7177195.0,,,7177195.0,,380112.0,,,380112.0,,15.78641933550009,,,15.78641933550009,,12.848223855918395,,,12.848223855918395
William Levy,,2962166.0,,,2962166.0,,380112.0,,,380112.0,,14.90143165304431,,,14.90143165304431,,12.848223855918395,,,12.848223855918395
Jack Wagner,,,,,,,,,,,,,,,,,,,,
Sherri Sheperd,,,,,,,299226.0,,,299226.0,,,,,,,12.608957761652729,,,12.608957761652729
Jaleel White,,116699.0,,,116699.0,,,,,,,11.667361818274648,,,11.667361818274648,,,,,
Roshon Fegan,,337741.0,,,337741.0,,126882.0,,,126882.0,,12.730037569383523,,,12.730037569383523,,11.751020680977549,,,11.751020680977549
Melissa Gilbert,,168539.0,,,168539.0,,,,,,,12.034928389326344,,,12.034928389326344,,,,,
Martina Navratilova,,447000.0,,,447000.0,,,,,,,13.010316110729669,,,13.010316110729669,,,,,
Donald Driver,,,,,,,213109.0,,,213109.0,,,,,,,12.269563743311371,,,12.269563743311371
Gavin DeGraw,,356179.0,,352000.0,708179.0,,242304.0,,,242304.0,,12.783191500029996,,12.77138929548529,13.47045357765117,,12.39795254216744,,,12.39795254216744
Gladys Knight,,434074.0,,,434074.0,,,,,,,12.980972609212339,,,12.980972609212339,,,,,
Katherine Jenkins,,263558.0,,91700.0,355258.0,,,,,,,12.482032530818099,,11.426288563310505,12.78060237991008,,,,,
Maria Menounos,,617139.0,,,617139.0,,768913.0,,114000.0,882913.0,,13.332851181524633,,,13.332851181524633,,13.552734408683879,,11.643962499267984,13.690983079599384
Gilles Marini,,,,,,,213109.0,,,213109.0,,,,,,,12.269563743311371,,,12.269563743311371
Sabrina Bryan,,64454.0,,,64454.0,,67867.0,,,67867.0,,11.073722584877205,,,11.073722584877205,,11.12531992116283,,,11.12531992116283
Kirstie Alley,,1577810.0,,,1577810.0,,,,,,,14.271549001351616,,,14.271549001351616,,,,,
Kelly Monaco,,214057.0,,,214057.0,,299226.0,,,299226.0,,12.274002285319908,,,12.274002285319908,,12.608957761652729,,,12.608957761652729
Apolo Anton Ohno,,256307.0,,,256307.0,,242304.0,,,242304.0,,12.454135125286806,,,12.454135125286806,,12.39795254216744,,,12.39795254216744
Emmitt Smith,,783072.0,,,783072.0,,380112.0,,,380112.0,,13.570981201789381,,,13.570981201789381,,12.848223855918395,,,12.848223855918395
Shawn Johnson,,,,,,,768913.0,,114000.0,882913.0,,,,,,,13.552734408683879,,11.643962499267984,13.690983079599384
Pamela Anderson,,1087742.0,,,1087742.0,,,,,,,13.899615465259991,,,13.899615465259991,,,,,
Helio Castroneves,,171899.0,,,171899.0,,126882.0,,,126882.0,,12.05466819137094,,,12.05466819137094,,11.751020680977549,,,11.751020680977549
Joey Fatone,,197993.0,,,197993.0,,,,,,,12.195992006187224,,,12.195992006187224,,,,,
Drew Lachey,,,,,,,,,,,,,,,,,,,,
Bristol Palin,,,,,,,,,,,,,,,,,,,,
Melissa Rycroft,,,,,,,,,,,,,,,,,,,,
Ingo Rademacher,,,,,,,,,,,,,,,,,,,,
Zendaya,120000000.0,21152565.0,,4110000.0,145262565.0,,299226.0,,,299226.0,18.603002309079653,16.867271779974484,,15.22893382978139,18.794053462863047,,12.608957761652729,,,12.608957761652729
Dorothy Hamill,,,,,,,,,,,,,,,,,,,,
Victor Ortiz,,112716.0,,,112716.0,,117473.0,,,117473.0,,11.632635531598089,,,11.632635531598089,,11.673972311485327,,,11.673972311485327
Alexandra Raisman,,1021915.0,,,1021915.0,,,,,,,13.837189854587036,,,13.837189854587036,,,,,
Jacoby Jones,,,,,,,242304.0,,,242304.0,,,,,,,12.39795254216744,,,12.39795254216744
